time;accelX;accelY;accelZ;gyroX;gyroY;gyroZ
11:42:57.649;1.81;-2.96;-10.88;-0.13;-0.97;-3.26
11:42:57.693;2.53;-0.33;-12.83;0.62;0.39;-2.19
11:42:57.739;1.66;-2.91;-9.29;0.35;-0.77;-3.59
11:42:57.784;2.62;-3.36;-8.39;-0.69;-0.17;-2.59
11:42:57.839;1.59;-1.98;-7.03;0.2;-0.35;-2.61
11:42:57.864;3.24;-5.01;-9.29;-0.35;0.04;-2.52
11:42:57.907;0.87;-4.67;-15.06;-0.38;-0.95;-2.63
11:42:57.952;3.12;-3.11;-15.71;-0.17;-0.26;-2.03
11:42:57.996;1.34;0.37;-7.95;-0.1;-0.58;-2.34
11:42:58.053;3.68;0.51;-8;-0.13;-0.35;-2.43
11:42:58.077;2.54;-2.08;-10.58;0.32;0.36;-2.1
11:42:58.121;3.19;-3.51;-13.87;0.33;-0.25;-2.31
11:42:58.166;-0.21;-3.01;-15.85;-0.44;-0.26;-2.38
11:42:58.222;0.49;-2.59;-5.48;0.12;-0.18;-2.25
11:42:58.245;3.51;-4.6;-11.44;-0.27;0.01;-1.97
11:42:58.290;2.21;-2.79;-9.2;0.11;-0.25;-2.44
11:42:58.336;-0.21;-1.51;-8.4;0.23;-0.5;-1.97
11:42:58.382;0.7;-2.56;-14.16;0.01;-0.6;-2.19
11:42:58.461;-0.03;-0.79;-9.89;0.08;-0.64;-2.04
11:42:58.463;2.3;0.35;-9.18;-0.14;-0.39;-1.73
11:42:58.503;0.9;0.3;-9.05;0.38;0.12;-2.27
11:42:58.549;4.62;-3.56;-14.42;-0.01;0.06;-2
11:42:58.594;4.12;-1.14;-7.06;-0.1;-0.51;-2.09
11:42:58.627;-0.6;-0.3;-9.63;0.46;-0.56;-1.85
11:42:58.671;0.05;0.49;-15.06;0.07;-0.21;-1.86
11:42:58.719;-1.16;-2.09;-7.04;-0.36;-0.05;-1.39
11:42:58.762;1.19;-1.36;-13.56;-0.05;0.23;-0.94
11:42:58.846;3.13;-0.69;-10.2;-0.31;0.07;-0.65
11:42:58.847;1.45;-1.59;-9.44;0.17;0.09;-0.75
11:42:58.887;-0.83;-4.13;-9.59;0.17;0.01;-0.4
11:42:58.931;0.53;2.17;-14.84;-0.14;-0.63;-0.38
11:42:58.976;1.42;-0.46;-12.04;-0.09;0.08;-0.2
11:42:59.031;1.71;-0.58;-13.73;-0.05;-0.35;-0.03
11:42:59.054;1.97;0.08;-14.91;-0.1;0.14;-0.14
11:42:59.100;2.06;-3.42;-12.27;-0.16;-0.08;0
11:42:59.145;2.7;0.11;-13.19;-0.23;-0.19;-0.11
11:42:59.229;1.37;-3.75;-10.18;0.11;-0.04;0.05
11:42:59.230;1.45;-2.04;-9.05;-0.29;0.06;-0.03
11:42:59.270;3.27;-2.33;-17.8;0.02;-0.34;0.21
11:42:59.313;0.56;-1.17;-14.44;0.03;-0.26;0.1
11:42:59.361;2.48;-1.82;-11.18;-0.05;-0.41;0.05
11:42:59.416;0.69;-0.68;-9.45;-0.11;0.52;0.11
11:42:59.442;2.99;-0.62;-12.73;-0.24;0;0.1
11:42:59.483;2.07;-1.88;-11.76;-0.35;0.42;-0.07
11:42:59.527;1.4;3.24;-14.11;-0.25;-0.41;0.11
11:42:59.584;1.41;-1.72;-12.68;0.01;-0.16;0.05
11:42:59.607;0.03;-1.7;-11.08;-0.06;-0.87;-0.02
11:42:59.650;0.79;-2.48;-9.06;-0.4;-0.21;0.19
11:42:59.695;1.93;-0.95;-17.43;0.36;0.23;-0.2
11:42:59.741;0.34;-2.43;-9.28;0.01;0.24;0.1
11:42:59.798;1.15;0.65;-15.67;0.75;0.15;-0.18
11:42:59.820;0.59;-0.79;-12.19;0.01;0.28;0.18
11:42:59.864;-0.46;-3.86;-5.67;0.33;0.35;-0.28
11:42:59.887;0.42;-1.08;-4.08;-0.23;-0.04;0.18
11:42:59.944;2.83;-4.39;-8.38;-0.08;-0.25;-0.23
11:42:59.988;1.59;-2.45;-9.7;-0.35;-0.55;0.11
11:43:00.035;1.8;-0.22;-11.14;-0.27;-0.16;0.03
11:43:00.057;-0.09;-3.58;-19.41;-0.3;-0.13;-0.1
11:43:00.103;1.26;-5.92;-13.78;0.43;0.44;0.13
11:43:00.161;-2.36;1.76;-6.68;-0.38;-0.12;-0.26
11:43:00.202;2.02;-2.62;-14.5;-0.12;-0.2;0.31
11:43:00.248;1.75;-2.89;-8.88;-0.16;0.13;-0.15
11:43:00.271;-0.23;1.83;-11.6;-0.8;-0.23;-0.09
11:43:00.314;1.99;-2.39;-13.58;0.21;0.05;0.16
11:43:00.372;2.14;-0.08;-8.86;-0.08;0.22;-0.19
11:43:00.417;1.76;3.14;-13.03;0.42;0.09;0.21
11:43:00.440;1.62;3.59;-12.83;-0.57;-0.26;-0.18
11:43:00.483;0.73;-2.19;-7.24;-0.11;-0.53;0.17
11:43:00.544;1.87;-4.74;-11.54;-0.4;0.06;0.08
11:43:00.585;-1.9;-2.25;-18.47;0.13;-0.71;-0.02
11:43:00.642;2.28;2.31;-17.94;0.17;0.19;0.14
