time;accelX;gyroZ
18:49:39.493;-2.91;3.21
18:49:39.515;-1.54;3.11
18:49:39.549;-1.63;2.67
18:49:39.549;-11.3;3.29
18:49:39.572;-9.08;3.15
18:49:39.606;2.34;2.87
18:49:39.606;-1.91;3.46
18:49:39.629;-4.3;3.62
18:49:39.651;-6.85;3.24
18:49:39.651;7.62;2.45
18:49:39.687;1.6;1.68
18:49:39.687;2.13;0.98
18:49:39.707;1.81;0.6
18:49:39.729;3.18;0.18
18:49:39.729;-2.43;0.02
18:49:39.763;1.65;-0.04
18:49:39.787;1.71;-0.13
18:49:39.787;1.87;-0.14
18:49:39.809;3.34;-0.04
18:49:39.842;3.81;-0.04
18:49:39.842;-1.32;-0.01
18:49:39.865;5.72;-0.08
18:49:39.899;-3.81;-0.09
18:49:39.899;1.4;-0.04
18:49:39.921;-4.16;0.16
18:49:39.943;-5.64;-0.01
18:49:39.943;0.88;0.01
18:49:39.977;2.13;-0.01
18:49:40.000;4.41;0.06
18:49:40.000;-7.05;-0.13
18:49:40.022;-2.23;0.05
18:49:40.055;2.46;0.12
18:49:40.055;3.33;-0.04
18:49:40.078;-2.79;0.05
18:49:40.078;7.47;-0.15
18:49:40.102;1.59;0.01
18:49:40.169;2.91;-0.05
18:49:40.169;-1.8;-0.08
18:49:40.173;1.22;0.05
18:49:40.191;1.3;0.04
18:49:40.191;3.06;0.1
18:49:40.217;4.33;0.21
18:49:40.217;2.66;0.18
18:49:40.235;1.6;0.19
18:49:40.294;3.85;0.16
18:49:40.294;8.55;0.14
18:49:40.295;0.99;0.03
18:49:40.295;1.6;0.14
18:49:40.350;1.42;0
18:49:40.353;3.36;0.11
18:49:40.353;-1.69;0.12
18:49:40.373;4.33;-0.01
18:49:40.430;0.29;0.08
18:49:40.430;-11.59;2.11
18:49:40.432;-13.87;3.52
18:49:40.451;8.43;3.91
18:49:40.451;-0.3;4.52
18:49:40.473;-6.69;4.95
18:49:40.532;-6.68;5.73
18:49:40.532;0.75;5.8
18:49:40.536;-1.21;5.85
18:49:40.586;-1.86;5.98
18:49:40.586;-10.81;5.76
18:49:40.589;-10.83;5.76
18:49:40.608;-2.49;5.61
18:49:40.608;-2.68;5.29
18:49:40.631;-7.15;4.41
18:49:40.686;-15.7;4.66
18:49:40.686;-2.48;4.21
18:49:40.687;19.48;4.45
18:49:40.708;15.6;2.9
18:49:40.708;24.9;0.56
18:49:40.765;9.53;-0.44
18:49:40.766;-5.54;-1.04
18:49:40.766;-9.29;-0.13
18:49:40.788;2.09;-0.69
18:49:40.845;5.7;-4.17
18:49:40.848;4.54;-3.86
18:49:40.848;-3.5;-2.53
18:49:40.869;2.42;-3.03
18:49:40.923;6.56;-2.51
18:49:40.923;1.32;-2.15
18:49:40.924;3.39;-1.32
18:49:40.924;4.29;-0.88
18:49:40.980;-5.32;-0.99
18:49:40.981;1.96;-0.54
18:49:40.981;-1.76;-0.27
18:49:41.001;-2.64;-0.41
